ID                       User               Name           User   Partition   Nodes   Cores   Decl._mem   Mem._%_usage    Eff.   CPU._used   Wall._Used   Wall._Req.              End_Time 
--                       ----               ----           ----   ---------   -----   -----   ---------   ------------    ----   ---------   ----------   ----------              -------- 
19596247_1       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.2%    00:06:36     00:01:39     00:15:00   2026-03-11 14:33:30 
19596247_4       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   97.3%    00:06:56     00:01:44     00:15:00   2026-03-11 14:33:35 
19596247_3       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.5%    00:07:00     00:01:45     00:15:00   2026-03-11 14:33:36 
19596247_5       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   96.8%    00:07:00     00:01:45     00:15:00   2026-03-11 14:33:36 
19596247_2       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.8%    00:07:04     00:01:46     00:15:00   2026-03-11 14:33:37 
19596247_6       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.3%    00:07:08     00:01:47     00:15:00   2026-03-11 14:33:38 
19596247_7       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   96.0%    00:07:08     00:01:47     00:15:00   2026-03-11 14:33:38 
19596247_11      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   94.6%    00:07:12     00:01:48     00:15:00   2026-03-11 14:33:39 
19596247_9       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.2%    00:07:16     00:01:49     00:15:00   2026-03-11 14:33:40 
19596247_12      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   94.9%    00:07:20     00:01:50     00:15:00   2026-03-11 14:33:41 
19596247_8       plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.9%    00:07:24     00:01:51     00:15:00   2026-03-11 14:33:42 
19596247_10      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   95.3%    00:07:28     00:01:52     00:15:00   2026-03-11 14:33:43 
19596247_15      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   94.8%    00:07:36     00:01:54     00:15:00   2026-03-11 14:33:45 
19596247_13      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.6%   95.0%    00:07:40     00:01:55     00:15:00   2026-03-11 14:33:46 
19596247_14      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   94.9%    00:07:44     00:01:56     00:15:00   2026-03-11 14:33:47 
19596247_16      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.3%    00:07:44     00:01:56     00:15:00   2026-03-11 14:33:47 
19596247_19      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.5%    00:07:56     00:01:59     00:15:00   2026-03-11 14:33:50 
19596247_17      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB          33.9%   95.0%    00:08:04     00:02:01     00:15:00   2026-03-11 14:33:52 
19596247_18      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.1%    00:08:16     00:02:04     00:15:00   2026-03-11 14:33:55 
19596247_21      plgjoannahdk   blender-job-anim   plgjoannahdk      plgrid       1       4      4.0GiB           5.5%   95.9%    00:08:40     00:02:10     00:15:00   2026-03-11 14:34:01 
